Company,Website,Annual Report
Stryker,https://www.stryker.com/,https://stocklight.com/stocks/us/nyse-syk/stryker/annual-reports/nyse-syk-2024-10K-24634007.pdf
United Parcel Service,https://www.ups.com/,https://stocklight.com/stocks/us/nyse-ups/united-parcel-service/annual-reports/nyse-ups-2024-10K-24653569.pdf
Progressive,https://www.progressive.com/,https://stocklight.com/stocks/us/nyse-pgr/progressive/annual-reports/nyse-pgr-2024-10K-24674697.pdf
Elevance Health,https://www.elevancehealth.com/,https://stocklight.com/stocks/us/nyse-elv/elevance-health/annual-reports/nyse-elv-2024-10K-24660091.pdf
Booking Holdings,https://www.bookingholdings.com/,https://stocklight.com/stocks/us/nasdaq-bkng/booking-holdings/annual-reports/nasdaq-bkng-2024-10K-24666186.pdf
AT&T,https://www.att.com/,https://stocklight.com/stocks/us/nyse-t/at-t/annual-reports/nyse-t-2024-10K-24672137.pdf
Lam Research,https://www.lamresearch.com/,https://stocklight.com/stocks/us/nasdaq-lrcx/lam-research/annual-reports/nasdaq-lrcx-2023-10K-231174848.pdf
Citigroup,https://www.citigroup.com/,https://stocklight.com/stocks/us/nyse-c/citigroup/annual-reports/nyse-c-2024-10K-24672523.pdf
Blackrock,https://www.blackrock.com/,https://stocklight.com/stocks/us/nyse-blk/blackrock/annual-reports/nyse-blk-2024-10K-24670159.pdf
Deere,https://www.deere.com/,https://stocklight.com/stocks/us/nyse-de/deere/annual-reports/nyse-de-2023-10K-231489139.pdf
Lockheed Martin,https://www.lockheedmartin.com/,https://stocklight.com/stocks/us/nyse-lmt/lockheed-martin/annual-reports/nyse-lmt-2024-10K-24552857.pdf
TJX Companies,https://www.tjx.com/,https://stocklight.com/stocks/us/nyse-tjx/tjx-companies/annual-reports/nyse-tjx-2024-10K-24817504.pdf
Boeing,https://www.boeing.com/,https://stocklight.com/stocks/us/nyse-ba/boeing/annual-reports/nyse-ba-2024-10K-24581697.pdf
Blackstone Minerals,https://www.blackstoneminerals.com.au,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-02718741-6A1171291
Regeneron Pharmaceuticals,https://www.regeneron.com/,https://stocklight.com/stocks/us/nasdaq-regn/regeneron-pharmaceuticals/annual-reports/nasdaq-regn-2024-10K-24594245.pdf
Vertex Pharmaceuticals,https://www.vrtx.com/,https://stocklight.com/stocks/us/nasdaq-vrtx/vertex-pharmaceuticals/annual-reports/nasdaq-vrtx-2024-10K-24643934.pdf
Airbnb,https://www.airbnb.com/,https://stocklight.com/stocks/us/nasdaq-abnb/airbnb/annual-reports/nasdaq-abnb-2024-10K-24648248.pdf
Analog Devices,https://www.analog.com/,https://stocklight.com/stocks/us/nasdaq-adi/analog-devices/annual-reports/nasdaq-adi-2023-10K-231428464.pdf
Marsh & McLennan Cos.,https://www.mmc.com/,https://stocklight.com/stocks/us/nyse-mmc/marsh-mclennan-cos/annual-reports/nyse-mmc-2024-10K-24621145.pdf
Automatic Data Processing,https://www.adp.com/,https://stocklight.com/stocks/us/nasdaq-adp/automatic-data-processing/annual-reports/nasdaq-adp-2023-10K-231140904.pdf
Prologis,https://www.prologis.com/,https://stocklight.com/stocks/us/nyse-pld/prologis/annual-reports/nyse-pld-2024-10K-24625792.pdf
Palo Alto Networks,https://www.paloaltonetworks.com/,https://stocklight.com/stocks/us/nasdaq-panw/palo-alto-networks/annual-reports/nasdaq-panw-2023-10K-231232732.pdf
Cigna Group (The),https://www.cigna.com/,https://stocklight.com/stocks/us/nyse-ci/cigna-group-the/annual-reports/nyse-ci-2024-10K-24702887.pdf
KLA,https://www.kla-tencor.com/,https://stocklight.com/stocks/us/nasdaq-klac/kla/annual-reports/nasdaq-klac-2023-10K-231144097.pdf
Mondelez International,https://www.mondelezinternational.com/,https://stocklight.com/stocks/us/nasdaq-mdlz/mondelez-international/annual-reports/nasdaq-mdlz-2024-10K-24591088.pdf
Dell Technologies,https://www.delltechnologies.com/,https://stocklight.com/stocks/us/nyse-dell/dell-technologies/annual-reports/nyse-dell-2024-10K-24779476.pdf
Southern Copper Corporation,http://www.southerncoppercorp.com/,https://stocklight.com/stocks/us/nyse-scco/southern-copper-corporation/annual-reports/nyse-scco-2024-10K-24699659.pdf
Fiserv,https://www.fiserv.com/,https://investors.fiserv.com/sec-filings/annual-reports/content/0001140361-24-017625/0001140361-24-017625.pdf
Bristol-Myers Squibb,https://www.bms.com/,https://stocklight.com/stocks/us/nyse-bmy/bristol-myers-squibb/annual-reports/nyse-bmy-2024-10K-24623780.pdf
KKR,https://www.kkr.com/,https://stocklight.com/stocks/us/nyse-kkr/kkr/annual-reports/nyse-kkr-2024-10K-24704028.pdf
Chipotle Mexican Grill,http://chipotle.com,https://stocklight.com/stocks/us/nyse-cmg/chipotle-mexican-grill/annual-reports/nyse-cmg-2024-10K-24606220.pdf
Blackstone,https://www.blackstone.com/,https://stocklight.com/stocks/us/nyse-bx/blackstone/annual-reports/nyse-bx-2024-10K-24671070.pdf
